ID,MONTH,DAY,YEAR,PL,XC,VL,CI,MT,CT,NV,RM,NT,TC,CH,CK,RC,HM,PT,MC,CJ,AVERAGE
80,4,4,18,0,1,0,2,3,0,0,0,1,3,1,3,4,0,0,1,1,1.176470588
81,4,3,18,0,3,0,0,0,0,0,0,6,1,0,4,0,2,0,1,1,1.058823529
82,3,28,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.117647059
83,3,27,18,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0.411764706
84,3,26,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.176470588
85,3,25,18,4,5,7,3,5,1,0,0,14,2,0,12,7,3,4,0,6,4.294117647
86,3,23,18,0,1,0,2,0,1,0,0,0,1,0,1,1,1,0,0,3,0.647058824
87,3,22,18,0,2,3,0,0,0,0,0,2,7,2,2,1,1,2,1,2,1.470588235
88,3,21,18,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0.294117647
89,3,20,18,0,4,1,0,0,1,0,0,2,1,0,0,0,2,0,1,2,0.823529412
90,3,19,18,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.294117647
91,3,16,18,2,1,1,1,2,5,0,0,0,8,1,2,1,5,0,0,3,1.882352941
92,3,15,18,2,2,1,1,0,0,0,0,2,2,2,3,6,3,0,1,0,1.470588235
93,3,14,18,2,0,0,2,0,0,0,0,1,2,0,0,3,0,1,1,1,0.764705882
94,3,13,18,0,3,2,0,1,0,0,0,3,2,0,0,0,3,0,2,1,1
95,3,12,18,3,2,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0.764705882
96,3,8,18,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0.352941176
97,3,7,18,0,1,2,1,2,0,0,0,3,2,0,4,4,1,0,0,1,1.235294118
98,3,6,18,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0.470588235
99,3,5,18,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0.411764706
100,3,4,18,5,5,1,0,0,2,0,0,5,4,0,3,8,1,3,3,3,2.529411765
101,3,2,18,0,5,1,3,0,1,0,0,3,5,0,3,2,1,0,0,1,1.470588235
102,3,1,18,0,2,1,0,0,0,0,1,4,2,0,2,0,0,0,0,1,0.764705882
103,2,28,18,0,1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0.470588235
104,2,27,18,0,1,1,3,0,0,0,1,1,1,0,1,0,2,0,0,0,0.647058824
105,2,26,18,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.176470588
106,2,23,18,0,0,0,0,0,0,0,4,2,3,0,2,0,1,0,0,0,0.705882353
107,2,22,18,0,1,0,1,1,1,0,2,1,4,1,2,0,2,0,0,0,0.941176471
108,2,21,18,0,2,0,3,0,1,0,1,1,2,0,2,0,1,0,0,1,0.823529412
109,2,20,18,0,3,0,0,1,0,0,3,3,3,0,4,0,2,0,0,2,1.235294118
110,2,19,18,0,0,0,3,0,0,0,0,2,2,0,3,0,1,0,0,1,0.705882353
111,2,16,18,2,0,0,1,0,0,0,2,2,1,1,0,0,1,0,0,1,0.647058824
112,2,15,18,0,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,2,0.588235294
113,2,14,18,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,0.529411765
114,2,13,18,2,1,2,4,1,1,0,2,5,4,0,0,0,4,0,0,2,1.647058824
115,2,12,18,0,1,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0.470588235
116,2,11,18,8,18,11,8,2,2,0,4,13,13,0,6,0,7,0,0,1,5.470588235
117,2,9,18,0,0,0,0,1,0,0,2,1,4,0,3,0,2,0,0,1,0.823529412
118,2,8,18,0,1,1,1,0,0,0,2,0,1,0,1,0,1,0,0,1,0.529411765
119,2,7,18,0,2,0,0,0,0,1,1,6,3,0,6,0,3,0,0,3,1.470588235
120,2,6,18,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0.411764706
121,2,2,18,5,0,4,1,1,0,0,2,3,1,1,1,0,3,0,0,6,1.647058824
122,2,1,18,1,0,1,0,1,1,0,3,3,0,0,3,0,1,0,0,5,1.117647059
123,1,31,18,0,2,3,2,0,0,0,3,3,0,0,3,0,1,0,0,4,1.235294118
124,1,30,18,0,4,4,0,0,0,0,2,0,6,2,4,0,1,0,0,3,1.529411765
125,1,29,18,0,2,2,0,0,0,0,1,2,4,0,1,0,1,0,0,1,0.823529412
126,1,28,18,10,8,12,5,1,6,0,9,13,13,9,13,0,6,0,0,3,6.352941176
127,1,26,18,0,1,3,2,1,0,0,2,4,0,0,6,0,1,0,0,2,1.294117647
128,1,25,18,0,5,5,1,2,0,0,0,4,0,0,4,0,3,0,0,0,1.411764706
129,1,24,18,0,2,0,4,2,0,0,0,2,0,2,2,0,0,0,0,1,0.882352941
130,1,23,18,0,4,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0.647058824
131,1,22,18,0,3,2,3,0,1,0,0,0,3,1,2,0,2,0,0,0,1
132,1,21,18,11,14,8,11,1,4,0,0,25,19,0,16,0,9,0,0,1,7
133,1,19,18,1,1,2,0,0,0,0,0,4,4,0,4,0,3,0,0,2,1.235294118
134,1,18,18,0,2,3,1,1,2,0,0,5,5,4,2,0,0,0,0,2,1.588235294
135,1,17,18,0,3,1,4,2,0,0,0,5,4,0,3,0,0,0,0,2,1.411764706
136,1,16,18,0,0,2,0,0,0,0,0,4,5,0,2,0,0,0,0,0,0.764705882
137,1,10,18,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0.411764706
138,1,5,18,1,1,1,4,0,1,0,0,3,7,0,2,0,0,0,0,0,1.176470588
139,1,4,18,0,3,1,2,0,4,0,0,5,3,2,3,0,0,0,0,0,1.352941176
140,1,3,18,1,8,1,3,1,5,0,0,6,6,5,7,0,0,0,0,0,2.529411765
141,1,2,18,3,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0.647058824
